,Fator_1,Fator_2
0,3.8541374,-3.6028
1,1.7416154,2.2568183
2,-4.7898064,9.922889
3,9.392822,15.668087
4,13.137221,3.5708766
5,8.983127,17.93741
6,-0.8120958,4.284404
7,-2.2274582,13.47907
8,13.416035,5.189265
9,9.9254,15.557419
10,9.397028,14.889746
11,5.9812765,-3.815637
12,-3.2939053,9.213076
13,4.2790556,-1.5651076
14,7.99415,18.161285
15,15.808205,6.9022527
16,5.605836,-4.1767826
17,8.213154,15.72335
18,4.3646374,-1.3811609
19,-1.0646322,4.9223657
20,8.127212,16.874186
21,9.972587,17.049397
22,-0.698204,4.367221
23,14.781004,3.5474699
24,3.8739011,-3.7163677
25,-3.1421282,8.698585
26,8.195358,15.679045
27,9.027286,16.157358
28,5.93791,-3.8769593
29,14.2413025,5.632636
30,8.320423,13.900843
31,4.058829,3.9675348
32,3.9678693,-2.631916
33,11.199603,6.2076755
34,13.189387,7.874599
35,-0.45742047,13.004055
36,-0.7564643,11.794568
37,14.006404,3.4666116
38,-0.47084114,5.100406
39,13.681757,5.4500313
40,-2.1691823,12.408068
41,14.175966,6.05261
42,13.489014,6.8446174
43,13.786338,2.8550153
44,10.935429,13.706139
45,11.615913,6.0849185
46,7.201969,15.940782
47,11.14644,6.6330295
48,-3.1600559,8.474752
49,-1.8033127,12.322422
50,14.07235,5.141048
51,14.417655,7.7856684
52,11.438569,6.174921
53,-1.5177643,11.4387
54,5.0487843,-4.052215
55,3.7441595,-2.3814785
56,4.184067,-2.6484296
57,4.149998,3.9806106
58,3.716203,-2.4172757
59,12.026189,15.064868
60,9.539142,16.78045
61,10.7599535,3.974603
62,14.487319,5.229096
63,8.08564,14.873972
64,-0.27789107,5.026339
65,3.1518579,-1.5160446
66,-1.2212031,11.65474
67,-3.0613406,9.494474
68,-0.42799398,12.30377
69,15.294609,5.6920285
70,4.489219,-1.0270516
71,13.736855,7.419349
72,14.657109,4.5187488
73,9.026336,14.098666
74,12.042145,2.6229
75,-3.0686047,9.705381
76,-0.19082768,12.459245
77,14.275227,6.747024
78,10.855552,13.422057
79,14.309085,6.559485
80,9.471173,15.832944
81,11.427432,14.331789
82,11.921753,14.99483
83,7.284265,16.077261
84,5.536746,-3.6836772
85,14.033474,5.5703893
86,14.54607,5.8062544
87,-0.47945052,4.24215
88,12.362245,3.3656201
89,10.122412,14.058699
90,5.257423,-4.7812214
91,9.911308,17.005953
92,-1.7551931,11.678505
93,3.8459663,-1.1489496
94,13.870873,6.8117466
95,12.993992,5.482883
96,4.158305,-1.132295
97,12.461237,6.594607
98,7.504745,15.771163
99,8.5471735,13.855015
100,8.60366,13.779117
101,4.719058,-3.8110335
102,-0.84579724,4.422807
103,8.9068775,18.252672
104,8.875055,18.360577
105,15.2452545,8.170554
106,11.862528,14.334151
107,13.842605,8.10908
108,3.708572,-1.6324599
109,13.727869,6.9492817
110,8.597976,16.85617
111,-1.2889814,10.469631
112,14.850529,8.907127
113,10.950568,3.2575347
114,13.623252,8.068637
115,-3.4280326,9.0945
116,6.0614977,-3.8520372
117,8.973497,18.382343
118,-4.8030367,9.95691
119,14.915116,7.935106
120,10.440434,13.536754
